,pop,fun,family,temp,rep,date,stage,num,count,per,fail,prop
2531,MX,pff_tul,Tul,GC,2531,D124,2,0,0,0,100,0
2532,MX,pff_tul,Tul,GC,2532,D124,2,0,0,0,100,0
2533,MX,pff_tul,Tul,GC,2533,D124,2,175,64,36.57142857,63.42857143,0.365714286
2534,MX,pff_tul,Tul,GC,2534,D124,2,169,52,30.76923077,69.23076923,0.307692308
2535,MX,pff_tul,Tul,GC,2535,D124,2,178,51,28.65168539,71.34831461,0.286516854
2536,MX,pff_tul,Tul,GC,2536,D124,2,174,93,53.44827586,46.55172414,0.534482759
2537,MX,pff_tul,Tul,GC,2537,D124,2,157,88,56.05095541,43.94904459,0.560509554
2538,MX,pff_tul,Tul,GC,2538,D124,2,0,0,0,100,0
2539,MX,pff_tul,Tul,GC,2539,D124,2,150,0,0,100,0
2540,MX,pff_tul,Tul,GC,2540,D124,2,182,97,53.2967033,46.7032967,0.532967033
2541,MX,pff_cerato,Cerato,RT,2541,D124,2,280,4,1.428571429,98.57142857,0.014285714
2542,MX,pff_cerato,Cerato,RT,2542,D124,2,204,10,4.901960784,95.09803922,0.049019608
2543,MX,pff_cerato,Cerato,RT,2543,D124,2,213,18,8.450704225,91.54929577,0.084507042
2544,MX,pff_cerato,Cerato,RT,2544,D124,2,320,22,6.875,93.125,0.06875
2545,MX,pff_cerato,Cerato,RT,2545,D124,2,248,37,14.91935484,85.08064516,0.149193548
2546,MX,pff_cerato,Cerato,RT,2546,D124,2,109,11,10.09174312,89.90825688,0.100917431
2547,MX,pff_cerato,Cerato,RT,2547,D124,2,94,10,10.63829787,89.36170213,0.106382979
2548,MX,pff_cerato,Cerato,RT,2548,D124,2,53,6,11.32075472,88.67924528,0.113207547
2549,MX,pff_cerato,Cerato,RT,2549,D124,2,86,15,17.44186047,82.55813953,0.174418605
2550,MX,pff_cerato,Cerato,RT,2550,D124,2,65,7,10.76923077,89.23076923,0.107692308
2551,MX,pff_cerato,Cerato,GC,2551,D124,2,270,113,41.85185185,58.14814815,0.418518519
2552,MX,pff_cerato,Cerato,GC,2552,D124,2,242,99,40.90909091,59.09090909,0.409090909
2553,MX,pff_cerato,Cerato,GC,2553,D124,2,230,78,33.91304348,66.08695652,0.339130435
2554,MX,pff_cerato,Cerato,GC,2554,D124,2,217,87,40.0921659,59.9078341,0.400921659
2555,MX,pff_cerato,Cerato,GC,2555,D124,2,120,0,0,100,0
2556,MX,pff_cerato,Cerato,GC,2556,D124,2,54,30,55.55555556,44.44444444,0.555555556
2557,MX,pff_cerato,Cerato,GC,2557,D124,2,73,33,45.20547945,54.79452055,0.452054795
2558,MX,pff_cerato,Cerato,GC,2558,D124,2,53,27,50.94339623,49.05660377,0.509433962
2559,MX,pff_cerato,Cerato,GC,2559,D124,2,82,47,57.31707317,42.68292683,0.573170732
2560,MX,pff_cerato,Cerato,GC,2560,D124,2,79,51,64.55696203,35.44303797,0.64556962
2561,MX,pev_cerato,Cerato,RT,2561,D124,2,0,0,0,100,0
2562,MX,pev_cerato,Cerato,RT,2562,D124,2,0,0,0,100,0
2563,MX,pev_cerato,Cerato,RT,2563,D124,2,0,0,0,100,0
2564,MX,pev_cerato,Cerato,RT,2564,D124,2,232,71,30.60344828,69.39655172,0.306034483
2565,MX,pev_cerato,Cerato,RT,2565,D124,2,0,0,0,100,0
2566,MX,pev_cerato,Cerato,RT,2566,D124,2,114,31,27.19298246,72.80701754,0.271929825
2567,MX,pev_cerato,Cerato,RT,2567,D124,2,146,44,30.1369863,69.8630137,0.301369863
2568,MX,pev_cerato,Cerato,RT,2568,D124,2,152,54,35.52631579,64.47368421,0.355263158
2569,MX,pev_cerato,Cerato,RT,2569,D124,2,130,36,27.69230769,72.30769231,0.276923077
2570,MX,pev_cerato,Cerato,RT,2570,D124,2,110,14,12.72727273,87.27272727,0.127272727
2571,MX,pev_cerato,Cerato,GC,2571,D124,2,300,166,55.33333333,44.66666667,0.553333333
2572,MX,pev_cerato,Cerato,GC,2572,D124,2,0,0,0,100,0
2573,MX,pev_cerato,Cerato,GC,2573,D124,2,204,125,61.2745098,38.7254902,0.612745098
2574,MX,pev_cerato,Cerato,GC,2574,D124,2,236,83,35.16949153,64.83050847,0.351694915
2575,MX,pev_cerato,Cerato,GC,2575,D124,2,310,135,43.5483871,56.4516129,0.435483871
2576,MX,pev_cerato,Cerato,GC,2576,D124,2,102,14,13.7254902,86.2745098,0.137254902
2577,MX,pev_cerato,Cerato,GC,2577,D124,2,91,30,32.96703297,67.03296703,0.32967033
2578,MX,pev_cerato,Cerato,GC,2578,D124,2,94,22,23.40425532,76.59574468,0.234042553
2579,MX,pev_cerato,Cerato,GC,2579,D124,2,218,64,29.35779817,70.64220183,0.293577982
2580,MX,pev_cerato,Cerato,GC,2580,D124,2,116,19,16.37931034,83.62068966,0.163793103
2581,MX,Control,Control,RT,2581,D124,2,0,0,0,100,0
2582,MX,Control,Control,RT,2582,D124,2,0,0,0,100,0
2583,MX,Control,Control,RT,2583,D124,2,119,5,4.201680672,95.79831933,0.042016807
2584,MX,Control,Control,RT,2584,D124,2,87,4,4.597701149,95.40229885,0.045977011
2585,MX,Control,Control,RT,2585,D124,2,164,1,0.609756098,99.3902439,0.006097561
2586,MX,Control,Control,RT,2586,D124,2,0,0,0,100,0
2587,MX,Control,Control,RT,2587,D124,2,12,0,0,100,0
2588,MX,Control,Control,RT,2588,D124,2,31,0,0,100,0
2589,MX,Control,Control,RT,2589,D124,2,31,0,0,100,0
2590,MX,Control,Control,RT,2590,D124,2,36,0,0,100,0
2591,MX,Control,Control,GC,2591,D124,2,119,35,29.41176471,70.58823529,0.294117647
2592,MX,Control,Control,GC,2592,D124,2,90,15,16.66666667,83.33333333,0.166666667
2593,MX,Control,Control,GC,2593,D124,2,0,0,0,100,0
2594,MX,Control,Control,GC,2594,D124,2,0,0,0,100,0
2595,MX,Control,Control,GC,2595,D124,2,142,18,12.67605634,87.32394366,0.126760563
2596,MX,Control,Control,GC,2596,D124,2,15,1,6.666666667,93.33333333,0.066666667
2597,MX,Control,Control,GC,2597,D124,2,37,4,10.81081081,89.18918919,0.108108108
2598,MX,Control,Control,GC,2598,D124,2,48,3,6.25,93.75,0.0625
2599,MX,Control,Control,GC,2599,D124,2,44,9,20.45454545,79.54545455,0.204545455
2600,MX,Control,Control,GC,2600,D124,2,23,7,30.43478261,69.56521739,0.304347826
