"","pop","fun","family","temp","rep","date","stage","num","count","per","per_arc","fail","fail_arc","per_arc_pi","per_log"
"2238","FF","pff_tul","Tul","GC",2238,"D124",1,269,0,0,0,100,1.5707963267949,0,0
"2239","FF","pff_tul","Tul","GC",2239,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2240","FF","pff_tul","Tul","GC",2240,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2241","FF","pff_cerato","Cerato","RT",2241,"D124",1,127,66,51.9685039370079,0.805088291629823,48.0314960629921,0.765708035165074,46.1281612457865,3.96969747156701
"2242","FF","pff_cerato","Cerato","RT",2242,"D124",1,274,108,39.4160583941606,0.67875196393689,60.5839416058394,0.892044362858006,38.8896228697997,3.69922719099484
"2243","FF","pff_cerato","Cerato","RT",2243,"D124",1,179,79,44.1340782122905,0.726603544724979,55.8659217877095,0.844192782069918,41.6313164919864,3.80963757563895
"2244","FF","pff_cerato","Cerato","RT",2244,"D124",1,181,85,46.9613259668508,0.754992686763546,53.0386740331492,0.815803640031351,43.2578945147938,3.87039497712598
"2245","FF","pff_cerato","Cerato","RT",2245,"D124",1,286,112,39.1608391608392,0.676139105600896,60.8391608391608,0.894657221194,38.7399171146816,3.69289237060439
"2246","FF","pff_cerato","Cerato","RT",2246,"D124",1,243,77,31.6872427983539,0.597907505066872,68.3127572016461,0.972888821728025,34.2575765795286,3.48698487329258
"2247","FF","pff_cerato","Cerato","RT",2247,"D124",1,222,68,30.6306306306306,0.586500159227868,69.3693693693694,0.984296167567028,33.6039838075076,3.4541259748561
"2248","FF","pff_cerato","Cerato","RT",2248,"D124",1,255,105,41.1764705882353,0.696698361177263,58.8235294117647,0.874097965617633,39.9178756891383,3.7418624965434
"2249","FF","pff_cerato","Cerato","RT",2249,"D124",1,278,124,44.6043165467626,0.731336051771031,55.3956834532374,0.839460275023866,41.9024691722411,3.82000237315347
"2250","FF","pff_cerato","Cerato","RT",2250,"D124",1,249,101,40.5622489959839,0.690451052089829,59.4377510040161,0.880345274705068,39.5599312451146,3.72719227920347
"2251","FF","pff_cerato","Cerato","GC",2251,"D124",1,138,45,32.6086956521739,0.607772458928329,67.3913043478261,0.963023867866568,34.8227968008814,3.51478483265827
"2252","FF","pff_cerato","Cerato","GC",2252,"D124",1,120,18,15,0.397699415092072,85,1.17309691170282,22.7864979995971,2.77258872223978
"2253","FF","pff_cerato","Cerato","GC",2253,"D124",1,204,35,17.156862745098,0.427072952805344,82.843137254902,1.14372337398955,24.469477739936,2.89904860192185
"2254","FF","pff_cerato","Cerato","GC",2254,"D124",1,188,51,27.1276595744681,0.547837235918374,72.8723404255319,1.02295909087652,31.3887614782356,3.33675341870157
"2255","FF","pff_cerato","Cerato","GC",2255,"D124",1,223,58,26.0089686098655,0.535173034830449,73.9910313901345,1.03562329196445,30.6631562049925,3.2961689815836
"2256","FF","pff_cerato","Cerato","GC",2256,"D124",1,161,22,13.6645962732919,0.378639358695045,86.3354037267081,1.19215696809985,21.6944372107662,2.68543617210105
"2257","FF","pff_cerato","Cerato","GC",2257,"D124",1,124,32,25.8064516129032,0.532861868524515,74.1935483870968,1.03793445827038,30.5307361299097,3.2886425903703
"2258","FF","pff_cerato","Cerato","GC",2258,"D124",1,147,26,17.687074829932,0.434062517213586,82.312925170068,1.13673380958131,24.8699502811631,2.92783209931654
"2259","FF","pff_cerato","Cerato","GC",2259,"D124",1,124,13,10.4838709677419,0.329730504949275,89.5161290322581,1.24106582184562,18.892166310311,2.44094352636688
"2260","FF","pff_cerato","Cerato","GC",2260,"D124",1,143,16,11.1888111888112,0.341071226093621,88.8111888111888,1.22972510070128,19.5419417685168,2.50051841526011
"2261","FF","pev_cerato","Cerato","RT",2261,"D124",1,153,67,43.7908496732026,0.723145952510308,56.2091503267974,0.847650374284588,41.4332110508085,3.80200387019339
"2262","FF","pev_cerato","Cerato","RT",2262,"D124",1,170,71,41.7647058823529,0.7026682565127,58.2352941176471,0.868128070282196,40.2599254959937,3.7557131334773
"2263","FF","pev_cerato","Cerato","RT",2263,"D124",1,161,84,52.1739130434783,0.807144148792506,47.8260869565217,0.76365217800239,46.2459531844899,3.97356791975802
"2264","FF","pev_cerato","Cerato","RT",2264,"D124",1,154,81,52.5974025974026,0.811383885832401,47.4025974025974,0.759412440962496,46.4888722231212,3.9815006078989
"2265","FF","pev_cerato","Cerato","RT",2265,"D124",1,50,0,0,0,100,1.5707963267949,0,0
"2266","FF","pev_cerato","Cerato","RT",2266,"D124",1,150,94,62.6666666666667,0.91346038602165,37.3333333333333,0.657335940773247,52.3374248714315,4.15366113937852
"2267","FF","pev_cerato","Cerato","RT",2267,"D124",1,69,0,0,0,100,1.5707963267949,0,0
"2268","FF","pev_cerato","Cerato","RT",2268,"D124",1,335,100,29.8507462686567,0.578010086687694,70.1492537313433,0.992786240107203,33.1175384831957,3.4291609402908
"2269","FF","pev_cerato","Cerato","RT",2269,"D124",1,137,60,43.7956204379562,0.723194032038542,56.2043795620438,0.847602294756354,41.4359658048573,3.80211037656097
"2270","FF","pev_cerato","Cerato","RT",2270,"D124",1,109,0,0,0,100,1.5707963267949,0,0
"2271","FF","pev_cerato","Cerato","GC",2271,"D124",1,231,100,43.2900432900433,0.718095542449825,56.7099567099567,0.852700784345072,41.1438438695324,3.79075989535715
"2272","FF","pev_cerato","Cerato","GC",2272,"D124",1,260,74,28.4615384615385,0.56272567701987,71.5384615384615,1.00807064977503,32.2418063168804,3.38308563171911
