"","pop","fun","family","temp","rep","date","stage","num","count","per","fail","prop","success","ffun","ftemp","fpop","Failure","E1","Success","PRes2","PER","PERT"
"2468","FF","pev_cerato","Cerato","RT",2468,"D124",2,335,29,8.656716418,91.34328358,0.086567164,0.0865671641791045,"pev_cerato","RT","FF",306,0.0679229265207747,0.0865671641791045,0.421385758057026,0.08656716418,0.0889432149605747
"2469","FF","pev_cerato","Cerato","RT",2469,"D124",2,137,14,10.2189781,89.7810219,0.102189781,0.102189781021898,"pev_cerato","RT","FF",123,0.128227743162298,0.102189781021898,0.827014428202104,0.102189781,0.104476046626437
"2470","FF","pev_cerato","Cerato","RT",2470,"D124",2,109,0,0,100,0,0,"pev_cerato","RT","FF",109,-0.266234726015922,0,-2.09652653359828,0,0.0028735632183908
"2471","FF","pev_cerato","Cerato","GC",2471,"D124",2,231,104,45.02164502,54.97835498,0.45021645,0.45021645021645,"pev_cerato","GC","FF",127,0.162446324591955,0.45021645021645,0.891092499723608,0.4502164502,0.450502562555172
"2472","FF","pev_cerato","Cerato","GC",2472,"D124",2,260,94,36.15384615,63.84615385,0.361538462,0.361538461538462,"pev_cerato","GC","FF",166,-0.0199703723218071,0.361538461538462,0.152608118744947,0.3615384615,0.362334217468391
"2473","FF","pev_cerato","Cerato","GC",2473,"D124",2,348,221,63.50574713,36.49425287,0.635057471,0.635057471264368,"pev_cerato","GC","FF",127,0.542676966011871,0.635057471264368,2.45800231167906,0.6350574713,0.634281278936207
"2474","FF","pev_cerato","Cerato","GC",2474,"D124",2,236,21,8.898305085,91.10169492,0.088983051,0.0889830508474576,"pev_cerato","GC","FF",215,-0.580635521200484,0.0889830508474576,-2.120799298575,0.08898305085,0.0913452172244253
"2475","FF","pev_cerato","Cerato","GC",2475,"D124",2,313,102,32.58785942,67.41214058,0.325878594,0.325878594249201,"pev_cerato","GC","FF",211,-0.0933251619444667,0.325878594249201,-0.146345500586311,0.3258785942,0.326879291934483
"2476","FF","pev_cerato","Cerato","GC",2476,"D124",2,262,90,34.35114504,65.64885496,0.34351145,0.343511450381679,"pev_cerato","GC","FF",172,-0.0570531689469602,0.343511450381679,0.00183756931285899,0.3435114504,0.34441080988046
"2477","FF","pev_cerato","Cerato","GC",2477,"D124",2,325,118,36.30769231,63.69230769,0.363076923,0.363076923076923,"pev_cerato","GC","FF",207,-0.0168056514309207,0.363076923076923,0.166427002842054,0.3630769231,0.363863837335058
