,pop,fun,family,temp,rep,date,stage,num,count,count,total_count,per_old,per,per_arc,fail,fail_arc,per_arc_pi,per_log,ffun,ftemp,fpop,success_old,Failure_old,PRes2,PER,PERT,E1,PER.01,PER.01.flip,Success_old,success1_old
33,FF,pff_tul,Tul,GC,2233,D124,1,276,78,61,139,28.26086957,0.503623188,0.560499733,71.73913043,1.010296594,32.11426913,3.376251114,pff_tul,GC,FF,0.282608696,198,0.757884089,0.282608696,0.283858071,5.691857541,1,0,0.282608696,78
34,FF,pff_tul,Tul,GC,2234,D124,1,189,62,54,116,32.8042328,0.613756614,0.609856452,67.1957672,0.960939875,34.94220081,3.520586026,pff_tul,GC,FF,0.328042328,127,1.290612575,0.328042328,0.32903059,6.423760441,1,0,0.328042328,62
35,FF,pff_tul,Tul,GC,2235,D124,1,290,0,0,0,0,0,0,100,1.570796327,0,0,pff_tul,GC,FF,0,290,-2.728902981,0,0.002873563,-7.369408615,0,1,0,0
36,FF,pff_tul,Tul,GC,2236,D124,1,266,0,0,0,0,0,0,100,1.570796327,0,0,pff_tul,GC,FF,0,266,-2.718215154,0,0.002873563,-7.057883039,0,1,0,0
37,FF,pff_tul,Tul,GC,2237,D124,1,385,79,146,225,20.51948052,0.584415584,0.470109974,79.48051948,1.100686353,26.93531743,3.068958596,pff_tul,GC,FF,0.205194805,306,-0.198167106,0.205194805,0.206889088,2.555087175,1,0,0.205194805,79
38,FF,pff_tul,Tul,GC,2238,D124,1,269,0,0,0,0,0,0,100,1.570796327,0,0,pff_tul,GC,FF,0,269,-2.71964811,0,0.002873563,-7.097571541,0,1,0,0
41,FF,pff_cerato,Cerato,RT,2241,D124,1,127,66,15,81,51.96850394,0.637795276,0.805088292,48.03149606,0.765708035,46.12816125,3.969697472,pff_cerato,RT,FF,0.519685039,61,1.213092324,0.519685039,0.519571907,2.816634182,1,0,0.519685039,66
42,FF,pff_cerato,Cerato,RT,2242,D124,1,274,108,16,124,39.41605839,0.452554745,0.678751964,60.58394161,0.892044363,38.88962287,3.699227191,pff_cerato,RT,FF,0.394160584,166,0.271358729,0.394160584,0.394768856,-0.108818521,1,0,0.394160584,108
43,FF,pff_cerato,Cerato,RT,2243,D124,1,179,79,26,105,44.13407821,0.586592179,0.726603545,55.86592179,0.844192782,41.63131649,3.809637576,pff_cerato,RT,FF,0.441340782,100,0.629768163,0.441340782,0.441677904,1.201963862,1,0,0.441340782,79
44,FF,pff_cerato,Cerato,RT,2244,D124,1,181,85,22,107,46.96132597,0.591160221,0.754992687,53.03867403,0.81580364,43.25789451,3.870394977,pff_cerato,RT,FF,0.46961326,96,0.846869351,0.46961326,0.469787896,1.985942485,1,0,0.46961326,85
45,FF,pff_cerato,Cerato,RT,2245,D124,1,286,112,27,139,39.16083916,0.486013986,0.676139106,60.83916084,0.894657221,38.73991711,3.692892371,pff_cerato,RT,FF,0.391608392,174,0.251796337,0.391608392,0.392231332,-0.199376587,1,0,0.391608392,112
46,FF,pff_cerato,Cerato,RT,2246,D124,1,243,77,30,107,31.6872428,0.440329218,0.597907505,68.3127572,0.972888822,34.25757658,3.486984873,pff_cerato,RT,FF,0.316872428,166,-0.327611412,0.316872428,0.317924885,-2.564499034,1,0,0.316872428,77
47,FF,pff_cerato,Cerato,RT,2247,D124,1,222,68,34,102,30.63063063,0.459459459,0.586500159,69.36936937,0.984296168,33.60398381,3.454125975,pff_cerato,RT,FF,0.306306306,154,-0.408366734,0.306306306,0.307419488,-2.772896248,1,0,0.306306306,68
48,FF,pff_cerato,Cerato,RT,2248,D124,1,255,105,25,130,41.17647059,0.509803922,0.696698361,58.82352941,0.874097966,39.91787569,3.741862497,pff_cerato,RT,FF,0.411764706,150,0.407297049,0.411764706,0.412271805,0.46948261,1,0,0.411764706,105
49,FF,pff_cerato,Cerato,RT,2249,D124,1,278,124,36,160,44.60431655,0.575539568,0.731336052,55.39568345,0.839460275,41.90246917,3.820002373,pff_cerato,RT,FF,0.446043165,154,0.674329017,0.446043166,0.446353262,1.658135195,1,0,0.446043165,124
50,FF,pff_cerato,Cerato,RT,2250,D124,1,249,101,23,124,40.562249,0.497991968,0.690451052,59.437751,0.880345275,39.55993125,3.727192279,pff_cerato,RT,FF,0.40562249,148,0.359482702,0.40562249,0.406164889,0.265864741,1,0,0.40562249,101
51,FF,pff_cerato,Cerato,GC,2251,D124,1,138,45,65,110,32.60869565,0.797101449,0.607772459,67.39130435,0.963023868,34.8227968,3.514784833,pff_cerato,GC,FF,0.326086957,93,2.08606248,0.326086957,0.327086457,3.867360745,1,0,0.326086957,45
52,FF,pff_cerato,Cerato,GC,2252,D124,1,120,18,61,79,15,0.658333333,0.397699415,85,1.173096912,22.786498,2.772588722,pff_cerato,GC,FF,0.15,102,-0.40619409,0.15,0.152011494,-1.257331879,1,0,0.15,18
